ID,Name,Name_nospace,Description,Ontological Scope,CRM Path,Expected Value Type,Field_Turtle,Category,Authors,Users,Funders
fie_11_Alternative Name Type,Alternative Name Type,Alternative_Name_Type,This field is used to record the type of the alternative name that has been attributed to the documented entity.,E1 CRM Entity,--> P1 --> E33_E41[10_1] --> P2 --> E55[11_1],Concept,"crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P2_has_type <https://example.org/type/fie_11_1> .
<https://example.org/type/fie_11_1> a crm:E55_Type .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_12_Alternative Name Language,Alternative Name Language,Alternative_Name_Language,This field is used to record the language of the alternative name attributed to the documented entity.,E1 CRM Entity,--> P1 --> E33_E41[10_1] --> P72 --> E56[12_1],Concept,"crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P72_has_language <https://example.org/name/fie_12_1> .
<https://example.org/name/fie_12_1> a crm:E56_Language .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_13_Alternative Name Use Period - Earliest,Alternative Name Use Period - Earliest,Alternative_Name_Use_Period_-_Earliest,This field is used to record the earliest known date for use of the alternative name attributed to the documented object.,E1 CRM Entity,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82a --> xsd:dateTime,Date,"crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
frbroo:R64i_was_name_used_by <https://example.org/event/fie_13_1> .
<https://example.org/event/fie_13_1> a frbroo:F52_Name_Use_Activity ;
crm:P4_has_time-span <https://example.org/time_span/fie_13_2> .
<https://example.org/time_span/fie_13_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_14_Alternative Name Use Period - Latest,Alternative Name Use Period - Latest,Alternative_Name_Use_Period_-_Latest,This field is used to record the latest known date for use of the alternative name attributed to the documented entity.,E1 CRM Entity,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82b --> xsd:dateTime,Date,"crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
frbroo:R64i_was_name_used_by <https://example.org/event/fie_13_1> .
<https://example.org/event/fie_13_1> a frbroo:F52_Name_Use_Activity ;
crm:P4_has_time-span <https://example.org/time_span/fie_13_2> .
<https://example.org/time_span/fie_13_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_15_Alternative Name - Attributed by,Alternative Name - Attributed by,Alternative_Name_-_Attributed_by,This field is used to record the organization or individual attributing the alternative name to the documented object.,E1 CRM Entity,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P14 --> E39[15_2],Reference Model,"crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P141i_was_assigned_by <https://example.org/event/fie_15_1> .
<https://example.org/event/fie_15_1> a crm:E13_Attribute_Assignment ;
crm:P14_carried_out_by <https://example.org/actor/fie_15_2> .
<https://example.org/actor/fie_15_2> a crm:E39_Actor .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_16_Alternative Name - Source,Alternative Name - Source,Alternative_Name_-_Source,This field is used to record the source on the basis of which the organization attributing the alternative name use based their attribution.,E1 CRM Entity,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P16 --> E73[16_1],Reference Model,"crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P141i_was_assigned_by <https://example.org/event/fie_15_1> .
<https://example.org/event/fie_15_1> a crm:E13_Attribute_Assignment ;
crm:P16_used_specific_object <https://example.org/conceptual_object/fie_16_1> .
<https://example.org/conceptual_object/fie_16_1> a crm:E73_Information_Object .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_17_Type,Type,Type,This field is used to record the formal type of the documented object.,E1 CRM Entity,--> P2 --> E55[17_1],Concept,"crm:P2_has_type <https://example.org/type/fie_17_1> .
<https://example.org/type/fie_17_1> a crm:E55_Type .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_18_Type Start - Date,Type Start - Date,Type_Start_-_Date,This field is used to record the earliest date the formal type indicated to hold for the documented object is believed to have held.,E1 CRM Entity,--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P4 --> E52[18_2] --> P82a --> xsd:dateTime,Date,"crm:P41i_was_classified_by <https://example.org/event/fie_18_1> .
<https://example.org/event/fie_18_1> a crm:E17_Type_Assignment ;
crm:P42_assigned <https://example.org/type/fie_17_1> ;
crm:P4_has_time-span <https://example.org/time_span/fie_18_2> .
<https://example.org/time_span/fie_18_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_19_Type - End Date,Type - End Date,Type_-_End_Date,This field is used to record the latest date the formal type indicated to hold for the documented object is believed to have held.,E1 CRM Entity,--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P4 --> E52[18_2] --> P82b --> xsd:dateTime,Date,"crm:P41i_was_classified_by <https://example.org/event/fie_18_1> .
<https://example.org/event/fie_18_1> a crm:E17_Type_Assignment ;
crm:P42_assigned <https://example.org/type/fie_17_1> ;
crm:P4_has_time-span <https://example.org/time_span/fie_18_2> .
<https://example.org/time_span/fie_18_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_20_Type Attributor,Type Attributor,Type_Attributor,"This field is used to record the institution, group or individual responsible for attributing the formal type to the documented entity.",E1 CRM Entity,--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P14 --> E39[20_1],Reference Model,"crm:P41i_was_classified_by <https://example.org/event/fie_18_1> .
<https://example.org/event/fie_18_1> a crm:E17_Type_Assignment ;
crm:P42_assigned <https://example.org/type/fie_17_1> ;
crm:P14_carried_out_by <https://example.org/actor/fie_20_1> .
<https://example.org/actor/fie_20_1> a crm:E39_Actor .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_21_Type Qualifying Description,Type Qualifying Description,Type_Qualifying_Description,This field is used to record a description of the formal type attributed to the documented object using free text.,E1 CRM Entity,--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P67i --> E33[21_1],Collection Model,"crm:P41i_was_classified_by <https://example.org/event/fie_18_1> .
<https://example.org/event/fie_18_1> a crm:E17_Type_Assignment ;
crm:P67i_is_referred_to_by <https://example.org/conceptual_object/fie_21_1> . 
<https://example.org/conceptual_object/fie_21_1> a crm:E33_Linguistic_Object .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_22_Occupation/General Role,Occupation/General Role,Occupation/General_Role,This field is used to record occupations/general roles that the documented person played in their life. This documentation is at the level of a general characteristic and is not the documentation of particular periods in which occupations/roles were undertaken.,E21 Person,--> SRP2 --> E55[22_1],Concept,"sari:SRP2_had_occupation <https://example.org/type/fie_22_1> .
<https://example.org/type/fie_22_1> a crm:E55_Type .",[CAT.1] Names and Classifications,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_23_Has Part,Has Part,Has_Part,This field is used to record individually documented temporal parts of of the documented temporal entity.,E2 Temporal Entity,--> P10i --> E5[23_1],Reference Model,"crm:P10i_contains <https://example.org/event/fie_23_1> .
<https://example.org/event/fie_23_1> a crm:E5_Event .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_24_Is Part of,Is Part of,Is_Part_of,This field is used to record broader temporal entities which the documented temporal entity belongs to as part.,E2 Temporal Entity,--> P10 --> E5[24_1],Reference Model,"crm:P10_falls_within <https://example.org/event/fie_24_1> .
<https://example.org/event/fie_24_1> a crm:E5_Event .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_25_Has Part,Has Part,Has_Part,This field is used to record individually documented parts of the documented physical thing.,E18 Physical Thing,--> P46 --> E22[25_1],Reference Model,"crm:P46_is_composed_of <https://example.org/physical_object/fie_25_1> .
<https://example.org/physical_object/fie_25_1> a crm:E22_Man_Made_Object .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_26_Has Part Type,Has Part Type,Has_Part_Type,This field is used to record part types for the documented physical thing.,E18 Physical Thing,--> P46 --> E22[25_1] --> P2 --> E55[26_1],Concept,"crm:P46_is_composed_of <https://example.org/physical_object/fie_25_1> .
<https://example.org/physical_object/fie_25_1> a crm:E22_Man_Made_Object ;
crm:P2_has_type <https://example.org/type/fie_26_1> .
<https://example.org/type/fie_26_1> a crm:E55_Type .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_27_Part Count,Part Count,Part_Count,This field is use to record a part count for the documented physical thing.,E18 Physical Thing,--> P57 --> rdfs:Literal,Integer,"crm:P57_has_number_of_parts ""content"" .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_28_Is Part of,Is Part of,Is_Part_of,This field is used to record instances of physical thing of which the documented physical thing is a part.,E18 Physical Thing,--> P46i --> E22[28_1],Reference Model,"crm:P46i_forms_part_of <https://example.org/physical_object/fie_28_1> .
<https://example.org/physical_object/fie_28_1> a crm:E22_Man_Made_Object .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_29_Has Part,Has Part,Has_Part,This field is used to record parts of the documented digital object.,D1 Digital Object,--> P106 --> D1[29_1],Reference Model,"crm:P106_is_composed_of <https://example.org/conceptual_object/fie_29_1> .
<https://example.org/conceptual_object/fie_29_1> a crmdig:D1_Digital_Object .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_30_Is Part Of,Is Part Of,Is_Part_Of,This field is used to record a digital object of which the documented digital object is a part..,D1 Digital Object,--> P106i --> D1[30_1],Reference Model,"crm:P106i_forms_part_of <https://example.org/conceptual_object/fie_30_1> .
<https://example.org/conceptual_object/fie_30_1> a crmdig:D1_Digital_Object .
",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_31_Has Part,Has Part,Has_Part,This field is used to record publications which forms part of the documented publication.,F24 Publication Expression,--> P106 --> F24[31_1],Reference Model,"crm:P106_is_composed_of <https://example.org/conceptual_object/fie_31_1> .
<https://example.org/conceptual_object/fie_31_1> a frbroo:F24_Publication_Expression .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_32_Is Part Of,Is Part Of,Is_Part_Of,"This field is used to record a publication of which the documented publication is a part such as the relation between a chapter and a book, an article and a journal issue etc.",F24 Publication Expression,--> P106i --> F24[32_1],Reference Model,"crm:P106_forms_part_of <https://example.org/conceptual_object/fie_32_1> .
<https://example.org/conceptual_object/fie_32_1> a frbroo:F24_Publication_Expression .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_33_Has Member,Has Member,Has_Member,"This field is used to record institutions, groups or individuals who are members of the documented group.",E74 Group,--> P107 --> E39[33_1],Reference Model,"crm:P107_has_current_or_former_member <https://example.org/actor/fie_33_1> .
<https://example.org/actor/fie_33_1> a crm:E39_Actor .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_34_Is Member of,Is Member of,Is_Member_of,"This field is used to record the institution or group to which the documented institution, group or individual belonged as member.",E39 Actor,--> P107i --> E74[34_1],Reference Model,"crm:P107i_is_current_or_former_member_of <https://example.org/actor/fie_34_1> .
<https://example.org/actor/fie_34_1> a crm:E74_Group .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_35_Has Part,Has Part,Has_Part,This field is used to record individually documented places which form part of the documented place.,E53 Place,--> P89i --> E53[35_1],Reference Model,"crm:P89i_contains <https://example.org/place/fie_35_1> .
<https://example.org/place/fie_35_1> a crm:E53_Place .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_36_Is Part of,Is Part of,Is_Part_of,This field is used to record that the broader place to which the documented place belongs as part.,E53 Place,--> P89 --> E53[36_1],Reference Model,"crm:P89_falls_within <https://example.org/place/fie_36_1> .
<https://example.org/place/fie_36_1> a crm:E53_Place .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_37_Historically Has Part,Historically Has Part,Historically_Has_Part,This field is used to record an instance of place which historically formed part of the documented place.,E53 Place,--> P161i --> E4[37_1] --> P10 --> E4 --> P161 --> E53[37_2],Reference Model,"crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> . 
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P161_has_spatial_projection <https://example.org/place/fie_37_2> . 
<https://example.org/place/fie_37_2> a crm:E53_Place .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_38_Name at time of Historically Having Part,Name at time of Historically Having Part,Name_at_time_of_Historically_Having_Part,This field is used to record the name of the documented place at the time of containing the referred instance of place.,E53 Place,--> P161i --> E4[37_1] --> P1 --> E41[38_1],String,"crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> .
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P1_is_identified_by <https://example.org/name/fie_38_1> .
<https://example.org/name/fie_38_1> a crm:E41_Appellation ;
rdfs:label ""content"" .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_39_Type at Time of Historically Having Part,Type at Time of Historically Having Part,Type_at_Time_of_Historically_Having_Part,This field is used to record the type of the documented place at the time of containing the referred instance of place.,E53 Place,--> P161i --> E4[37_1] --> P2 --> E55[39_1],Concept,"crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> .
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P2_has_type <https://example.org/type/fie_39_1> .
<https://example.org/type/fie_39_1> a crm:E55_Type .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_40_Historically Has Part - Earliest Date Time,Historically Has Part - Earliest Date Time,Historically_Has_Part_-_Earliest_Date_Time,This field is used to record the earliest date at which this instance of place fell within the documented place that it was historically a part of.,E53 Place,--> P161i --> E4[37_1] --> P160 --> E52[40_1] --> P82a --> xsd:dateTime,Date,"crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> .
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P160_has_temporal_projection <https://example.org/time_span/fie_40_1> .
<https://example.org/time_span/fie_40_1> a crm:E52_Time-Span ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_41_Historically Has Part - Latest Date Time,Historically Has Part - Latest Date Time,Historically_Has_Part_-_Latest_Date_Time,This field is used to record the latest date at which the instance of place fell within the documented place that it was historically a part of.,E53 Place,--> P161i --> E4[37_1] --> P160 --> E52[40_1] --> P82b --> xsd:dateTime,Date,"crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> .
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P160_has_temporal_projection <https://example.org/time_span/fie_40_1> .
<https://example.org/time_span/fie_40_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_42_Historically Is Part of Place,Historically Is Part of Place,Historically_Is_Part_of_Place,This field is used to record an instance of place that the documented place historically was part of.,E53 Place,--> P161i --> E4[42_1] --> P166i --> E93[42_2] --> P10 --> E4[42_3] --> P161 --> E53[42_4] --> P168 --> geo:wkt ,GeoJson,"crm:P161i_is_spatial_projection_of <https://example.org/event/fie_42_1> .
<https://example.org/event/fie_42_1> a crm:E4_Period;
crm:P166i_had_presence <https://example.org/stv/fie_42_2> .
<https://example.org/stv/fie_42_2> a crm:E93_Presence ;
crm:P10_falls_within <https://example.org/place/fie_42_3> .
<https://example.org/place/fie_42_3> a crm:E4_Period;
crm:P161_has_spatial_projection <https://example.org/place/fie_42_4> .
<https://example.org/place/fie_42_4> a crm:E53_Place ;
crm:P168_place_is_defined_by """"^^geo:wkt .",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_43_Name at Time of Historically Being Part of Place,Name at Time of Historically Being Part of Place,Name_at_Time_of_Historically_Being_Part_of_Place,This field is used to record the name of the documented place at the time of being part of the referred instance of place to which it historically belonged.,E53 Place,--> P161i --> E4[19] --> P166i --> E93[20] --> P10i --> F52[21] --> R64 --> E41[22] --> P190 --> rdfs:Literal<br><br> --> P161i --> E4[19] --> P166i --> E93[20] --> P10i --> F52[21] --> P140 --> E4[19]<br><br> --> P161i --> E4[19] --> P166i --> E93[20] --> P164 --> E52[25] --> P82a --> xsd:dateTime<br><br> --> P161i --> E4[19] --> P166i --> E93[20] --> P164 --> E52[25] --> P82b --> xsd:dateTime,String,"crm:P161i_is_spatial_projection_of <https://example.org/event/fie_42_1> .
<https://example.org/event/fie_42_1> a crm:E4_Period;
crm:P166i_had_presence <https://example.org/stv/fie_42_2> .
<https://example.org/stv/fie_42_2> a crm:E93_Presence ;
crm:P10i_contains <https://example.org/event/fie_43_1> ;
crm:P164_is_temporally_specified_by <https://example.org/time_span/fie_45_1> .
<https://example.org/time_span/fie_45_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .
<https://example.org/event/fie_43_1> a frbroo:F52_Name_Use_Activity;
frbroo:R64_used_name <https://example.org/name/fie_43_2> ;
crm:P140_assigned_attribute_to <https://example.org/event/fie_42_1> .
<https://example.org/name/fie_43_2> a crm:E41_Appellation ;
crm:P190_has_symbolic_content ""content"".",[CAT.2] Parthood,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
